user_id,date,n_impressions,url_domain
1290,2021-08-02,2,inquirer.com
579,2021-09-09,4,thehill.com
1635,2021-09-30,1,yahoo.com
192,2021-07-30,2,vaccines.gov
810,2021-08-19,1,etsy.com
715,2021-08-30,1,crafty.diply.com
1401,2021-08-16,1,dailykos.com
1794,2021-07-03,4,hollywoodlife.com
319,2021-08-11,1,people.com
829,2021-09-17,2,newsandguts.com
1865,2021-09-13,1,tipsto.live
43,2021-07-26,2,mailchi.mp
1664,2021-07-01,1,breitbart.com
201,2021-09-21,1,docs.google.com
942,2021-09-16,1,cbc.ca
1474,2021-07-29,1,dailymail.co.uk
797,2021-07-14,1,nytimes.com
373,2021-07-25,1,instagram.com
1183,2021-07-07,1,iflscience.com
1531,2021-07-27,1,cbsnews.com
1747,2021-07-22,4,amazon.com
1662,2021-08-25,1,instagram.com
1218,2021-09-18,1,youtube.com
1413,2021-08-11,2,youtube.com
1318,2021-08-01,2,newyorker.com
280,2021-09-10,2,media1.tenor.co
1616,2021-07-04,2,nationalgeographic.com
792,2021-09-11,1,fox10phoenix.com
1455,2021-08-01,2,westernjournal.com
1263,2021-08-24,2,kansascity.com
1439,2021-07-23,1,stltoday.com
245,2021-07-07,1,youtube.com
157,2021-09-05,2,globalnews.ca
73,2021-07-31,1,m.tiktok.com
381,2021-09-12,4,breitbart.com
434,2021-07-28,1,delish.com
344,2021-09-06,1,youtube.com
436,2021-08-12,1,instagram.com
76,2021-09-04,4,wgntv.com
388,2021-09-05,2,tmz.com
931,2021-08-26,1,t.me
1069,2021-09-04,1,gofundme.com
1294,2021-07-11,1,npr.org
1003,2021-07-02,1,georgetakei.com
748,2021-07-09,1,foodnetwork.com
1435,2021-09-13,1,babylonbee.com
479,2021-07-13,4,youtube.com
232,2021-08-15,4,npr.org
1253,2021-09-04,1,nytimes.com
540,2021-09-05,4,instagram.com
250,2021-07-14,2,youtube.com
832,2021-07-13,4,goodmorningamerica.com
1707,2021-08-29,4,cbssports.com
567,2021-08-10,1,townhall.com
537,2021-09-27,4,boston.cbslocal.com
1431,2021-09-02,1,nbcnews.com
1258,2021-08-31,2,wxyz.com
196,2021-07-06,2,podcasts.apple.com
1587,2021-08-06,1,msnbc.com
1602,2021-09-17,2,tweaktown.com
759,2021-07-16,1,nerdist.com
265,2021-07-16,4,oregonlive.com
1686,2021-09-08,1,cnn.com
826,2021-09-20,1,thenation.com
784,2021-09-23,2,amazon.com
256,2021-07-19,4,youtube.com
1726,2021-07-03,2,twitter.com
1039,2021-09-24,1,instagram.com
510,2021-08-01,1,cnn.com
596,2021-09-07,1,fastcompany.com
1016,2021-09-21,4,scoop.upworthy.com
1842,2021-08-30,1,bbc.com
1158,2021-07-23,1,desmoinesregister.com
203,2021-08-19,4,instagram.com
516,2021-09-17,2,buzzfeed.com
1444,2021-07-12,1,lovewhatmatters.com
1720,2021-07-07,2,washingtonpost.com
1287,2021-08-06,1,npr.org
781,2021-08-27,2,newsandguts.com
601,2021-07-21,1,comicsands.com
306,2021-07-28,1,cheezburger.com
1031,2021-07-25,2,wjla.com
440,2021-07-12,1,npr.org
430,2021-07-14,1,iheart.com
301,2021-09-09,2,on3.com
1334,2021-09-04,4,drive.google.com
991,2021-08-15,4,npr.org
1731,2021-09-17,1,ktvu.com
1797,2021-07-30,1,desmoinesregister.com
1483,2021-08-24,1,youtube.com
1338,2021-07-05,1,stevefmvirginia.iheart.com
1234,2021-07-27,1,instagram.com
996,2021-08-28,1,sandiegouniontribune.com
634,2021-09-24,2,crafty.diply.com
312,2021-07-26,4,cbssports.com
1688,2021-07-07,2,media1.tenor.co
108,2021-08-10,2,click2houston.com
1118,2021-08-02,1,outsideonline.com
761,2021-08-26,1,instagram.com
1721,2021-07-17,1,instagram.com
292,2021-09-03,1,fox6now.com
1783,2021-07-06,1,breitbart.com
1907,2021-08-03,4,amazon.com
1515,2021-07-31,1,khou.com
841,2021-09-15,1,etsy.com
1198,2021-09-21,1,newsone.com
564,2021-09-09,4,usatoday.com
1150,2021-07-20,4,hip2save.com
558,2021-07-22,1,youtube.com
992,2021-07-14,1,abc7ny.com
481,2021-08-04,2,insider.com
765,2021-09-27,2,bbc.com
421,2021-08-23,1,dailywire.com
1086,2021-07-27,1,commondreams.org
258,2021-07-15,1,unicef.org
612,2021-08-18,1,foxnews.com
485,2021-07-02,1,ranker.com
1888,2021-09-08,1,apnews.com
972,2021-09-17,2,forbes.com
1271,2021-09-28,2,cbssports.com
98,2021-07-22,1,unilad.co.uk
1181,2021-09-05,1,youtube.com
567,2021-07-10,1,secure.winred.com
750,2021-09-24,1,youtube.com
634,2021-07-20,4,wral.com
734,2021-08-06,1,tweaktown.com
576,2021-09-25,4,unicef.org
1054,2021-09-01,1,mailchi.mp
1235,2021-08-18,1,secure.actblue.com
1360,2021-08-15,1,nytimes.com
260,2021-08-24,1,guidestar.org
608,2021-07-10,1,nytimes.com
113,2021-08-04,2,huffpost.com
615,2021-08-23,1,washingtonpost.com
1766,2021-08-19,2,dailymail.co.uk
872,2021-08-01,2,mlive.com
177,2021-09-11,1,inquirer.com
1604,2021-08-09,1,myemail.constantcontact.com
1302,2021-09-13,4,ladbible.com
738,2021-09-22,4,nbcnews.com
1238,2021-09-25,1,youtube.com
1054,2021-08-09,1,youtube.com
1907,2021-07-04,1,washingtonpost.com
113,2021-07-30,1,wgntv.com
1043,2021-08-29,1,twitter.com
1242,2021-08-08,1,youtube.com
733,2021-07-07,4,247sports.com
148,2021-09-15,1,livescience.com
335,2021-07-24,1,youtube.com
266,2021-08-18,1,livescience.com
187,2021-08-31,2,nytimes.com
1767,2021-08-16,1,screenrant.com
1362,2021-08-01,1,youtube.com
1028,2021-08-19,1,instagram.com
306,2021-07-21,1,lovebakesgoodcakes.com
1473,2021-09-21,4,instagram.com
1489,2021-09-30,1,god.dailydot.com
1623,2021-09-02,4,youtube.com
156,2021-07-18,2,rumble.com
1757,2021-08-06,1,plainchicken.com
918,2021-07-30,1,god.dailydot.com
1299,2021-09-08,1,ranker.com
917,2021-08-04,1,twitter.com
1210,2021-07-06,1,apple.news
361,2021-07-15,1,cnn.com
385,2021-09-28,2,instagram.com
864,2021-08-23,1,esquire.com
397,2021-08-14,2,leadstories.com
140,2021-07-13,1,cbsnews.com
734,2021-09-19,1,usatoday.com
1340,2021-08-07,1,audacy.com
1915,2021-08-05,2,cracked.com
186,2021-09-17,4,nbcnews.com
1757,2021-09-18,2,youtube.com
481,2021-07-18,2,instagram.com
1092,2021-09-07,1,washingtonpost.com
1402,2021-08-18,1,nytimes.com
710,2021-07-01,1,newyorker.com
926,2021-09-16,4,comicbook.com
1611,2021-07-13,1,wsj.com
677,2021-07-15,2,npr.org
764,2021-08-15,1,npr.org
1253,2021-07-23,4,thegrio.com
1673,2021-09-29,2,nytimes.com
806,2021-09-18,1,nerdyfun.netlify.app
132,2021-09-23,2,buzzfeed.com
1379,2021-08-21,2,rumble.com
521,2021-07-03,4,bostonglobe.com
1400,2021-07-28,1,cnbc.com
1779,2021-08-20,1,linktr.ee
1680,2021-08-17,1,huffpost.com
999,2021-08-23,4,nj.com
844,2021-07-18,2,amazon.co.uk
106,2021-08-25,2,scarymommy.com
680,2021-08-02,1,timeout.com
382,2021-08-16,2,mailchi.mp
760,2021-08-17,1,didyouknowfacts.com
237,2021-07-31,4,tiktok.com
1118,2021-09-05,1,cdc.gov
725,2021-07-06,1,kcur.org
74,2021-07-12,1,worldnaturepg.netlify.app
1321,2021-08-20,1,podcasts.apple.com
1012,2021-08-07,1,youtube.com
1319,2021-08-24,1,inquirer.com
1257,2021-07-10,1,kcur.org
191,2021-09-23,4,lifehacker.com
1723,2021-07-24,1,mypillow.com
725,2021-08-19,4,dailymail.co.uk
815,2021-09-08,2,npr.org
1892,2021-09-17,1,people.com
190,2021-07-26,4,yahoo.com
923,2021-07-15,1,apple.news
50,2021-09-04,1,washingtonpost.com
1609,2021-08-20,1,abc7news.com
